Dist Code,Year,State Code,State Name,Dist Name,Crop Name,AREA (1000 ha),PRODUCTION (1000 tons),YIELD (Tons per 1000 ha),Annual Rainfall(Millimeters),IRRIGATED AREA (per ha),TOTAL AREA (1000 ha),GROSS CROPPED AREA (1000 ha),TOTAL FERTILIZER CONSUMPTION (tons)
44,2000,1,Andhra Pradesh,Srikakulam,Rice,274.6,511.34,1.86212673,982,177.21,899.31,638.03,56733
44,2001,1,Andhra Pradesh,Srikakulam,Rice,235.44,502.11,2.13264526,1053,153.83,899,614,52182
44,2002,1,Andhra Pradesh,Srikakulam,Rice,201.5,328.5,1.630272953,799,138.48,899,539.5,44893
44,2003,1,Andhra Pradesh,Srikakulam,Rice,246.96,545.82,2.210155491,1306,163.83,899.31,620.14,55358
44,2004,1,Andhra Pradesh,Srikakulam,Rice,256.78,601.96,2.344263572,970,167.72,899.31,631.74,57747
44,2005,1,Andhra Pradesh,Srikakulam,Rice,206.8,351.86,1.701450677,1176,141.93,899.31,581.6,57448
44,2006,1,Andhra Pradesh,Srikakulam,Rice,256.64,640.67,2.496376247,1277,169.34,910.65,657.15,65354
44,2007,1,Andhra Pradesh,Srikakulam,Rice,266.55,803.55,3.014631401,1203,173.82,910.65,674.95,64004
44,2008,1,Andhra Pradesh,Srikakulam,Rice,271.17,570.58,2.104141314,1026,175.5,910.65,634.99,72641
44,2009,1,Andhra Pradesh,Srikakulam,Rice,233.89,497.78,2.128265424,803,156.59,910.65,591.49,77254
44,2010,1,Andhra Pradesh,Srikakulam,Rice,279.72,358.64,1.282139282,1621.7,181.39,910.65,637.64,84205
44,2011,1,Andhra Pradesh,Srikakulam,Rice,272.7,537.7,1.971763843,934.6,180.35,910.65,617.88,84582
44,2012,1,Andhra Pradesh,Srikakulam,Rice,271.63,689.11,2.536943637,1289.2,181.25,910.65,608.88,74622
44,2013,1,Andhra Pradesh,Srikakulam,Rice,261.53,500.73,1.914617826,1421.9,175.41,910.65,592.96,72867
44,2014,1,Andhra Pradesh,Srikakulam,Rice,272.51,613.59,2.251623794,1274.3,181.16,910.65,605.4,76244
44,2015,1,Andhra Pradesh,Srikakulam,Rice,270.13,664.52,2.46000074,952.4,179.52,910.65,594.94,82725
44,2016,1,Andhra Pradesh,Srikakulam,Rice,268.4,801.97,2.987965723,NA,179.02,910.65,599.15,83258
44,2017,1,Andhra Pradesh,Srikakulam,Rice,279.15,735.77,2.635751388,NA,185.86,910.65,635.83,87531
45,2000,1,Andhra Pradesh,Visakhapatnam,Rice,184.25,300.2,1.629308005,1071,90.41,1449.3,660.01,42775
45,2001,1,Andhra Pradesh,Visakhapatnam,Rice,145.4,257.47,1.770770289,1092,65.59,1449,607,41101
45,2002,1,Andhra Pradesh,Visakhapatnam,Rice,111.5,122.5,1.098654709,708,41.54,1449,535.5,33325
45,2003,1,Andhra Pradesh,Visakhapatnam,Rice,145.18,264.17,1.819603251,1234,61.3,1449.3,588.02,42565
45,2004,1,Andhra Pradesh,Visakhapatnam,Rice,161.6,312.13,1.931497525,946,70.24,1449.3,605.6,45010
45,2005,1,Andhra Pradesh,Visakhapatnam,Rice,137.67,202.41,1.470254958,1325,62.14,1449.3,552.86,46971
45,2006,1,Andhra Pradesh,Visakhapatnam,Rice,154.97,325.04,2.097438214,1207,69.08,1443.05,582.88,54175
45,2007,1,Andhra Pradesh,Visakhapatnam,Rice,162.44,385.24,2.371583354,1238,73.08,1443.05,599.22,48838
45,2008,1,Andhra Pradesh,Visakhapatnam,Rice,167.39,328.35,1.961586714,1030,76.22,1443.05,582.71,50823
45,2009,1,Andhra Pradesh,Visakhapatnam,Rice,122.53,193.17,1.576511875,873,44.88,1443.05,502.01,63015
45,2010,1,Andhra Pradesh,Visakhapatnam,Rice,184.32,376.1,2.04047309,1793.8,91.69,1443.05,576.86,59472
45,2011,1,Andhra Pradesh,Visakhapatnam,Rice,174.41,303.62,1.740840548,932.8,84.5,1443.05,550.09,59215
45,2012,1,Andhra Pradesh,Visakhapatnam,Rice,166.65,312.24,1.873627363,1217.9,81.17,1443.05,546.4,49408
45,2013,1,Andhra Pradesh,Visakhapatnam,Rice,163.79,330.13,2.015568716,1082.5,82,1443.05,547.85,68094
45,2014,1,Andhra Pradesh,Visakhapatnam,Rice,167.72,343.73,2.049427617,1092.6,83.47,1443.05,549.2,59264
45,2015,1,Andhra Pradesh,Visakhapatnam,Rice,170.96,416.89,2.438523631,1210.4,85.11,1443.05,536.83,57933
45,2016,1,Andhra Pradesh,Visakhapatnam,Rice,172.56,436.84,2.531525267,NA,88.8,1443.05,526.31,54768
45,2017,1,Andhra Pradesh,Visakhapatnam,Rice,173.38,421.22,2.429461299,NA,89.12,1443.05,525.53,65445
46,2000,1,Andhra Pradesh,East Godavari,Rice,416.83,1366.63,3.278626778,1013,396.87,1081.84,764.91,155762
46,2001,1,Andhra Pradesh,East Godavari,Rice,386.59,1330,3.440337308,1029,376.68,1082,736,146987
46,2002,1,Andhra Pradesh,East Godavari,Rice,301,1043,3.465116279,715,295.29,1082,618,118808
46,2003,1,Andhra Pradesh,East Godavari,Rice,399.99,1631.55,4.078976974,1054,387.49,1081.84,755.89,141823
46,2004,1,Andhra Pradesh,East Godavari,Rice,387.42,1509.91,3.897346549,875,377.32,1081.84,729.15,148390
46,2005,1,Andhra Pradesh,East Godavari,Rice,387.42,1149.65,2.967451345,1362,380.4,1081.84,747.61,157945
46,2006,1,Andhra Pradesh,East Godavari,Rice,396.89,1393.55,3.511174381,1208,387.7,1080.7,766.49,145283
46,2007,1,Andhra Pradesh,East Godavari,Rice,410.78,1518.59,3.696845027,1260,400.52,1080.7,789.8,158749
46,2008,1,Andhra Pradesh,East Godavari,Rice,410.09,1513.26,3.690068034,1200,400.79,1080.7,739.27,179857
46,2009,1,Andhra Pradesh,East Godavari,Rice,306.58,1073.1,3.500228325,719,303.19,1080.7,598.16,149592
46,2010,1,Andhra Pradesh,East Godavari,Rice,410.53,1357.62,3.306993399,1953.6,403.08,1080.7,714.12,193102
46,2011,1,Andhra Pradesh,East Godavari,Rice,337.09,1176.83,3.491144798,845,331.37,1080.7,636.36,182137
46,2012,1,Andhra Pradesh,East Godavari,Rice,401.06,1101.91,2.747494141,1445.3,394.93,1080.7,694.07,174272
46,2013,1,Andhra Pradesh,East Godavari,Rice,404.68,1211.71,2.994242364,1120.2,398.4,1080.7,691.55,169372
46,2014,1,Andhra Pradesh,East Godavari,Rice,394.12,1563.23,3.966380798,635.7,384.96,1260.16,683.86,162055
46,2015,1,Andhra Pradesh,East Godavari,Rice,381.74,1445.57,3.786792057,1099.1,369.55,1280.53,679.31,161378
46,2016,1,Andhra Pradesh,East Godavari,Rice,383.96,1627.03,4.237498698,NA,372.49,1280.53,682.57,173169
46,2017,1,Andhra Pradesh,East Godavari,Rice,386.54,1672.79,4.327598696,NA,375.58,1280.53,666.04,143492
47,2000,1,Andhra Pradesh,West Godavari,Rice,471.67,1652.88,3.504314457,959,464.57,779.54,696.93,202886
47,2001,1,Andhra Pradesh,West Godavari,Rice,414.2,1473.13,3.556566876,851,412.02,780,649,171002
47,2002,1,Andhra Pradesh,West Godavari,Rice,332,1166,3.512048193,603,330.55,780,591,167271
47,2003,1,Andhra Pradesh,West Godavari,Rice,410.22,1679.72,4.094680903,959,407.13,779.54,670.78,196758
47,2004,1,Andhra Pradesh,West Godavari,Rice,420,1649.57,3.927547619,811,416.8,779.54,672.31,221747
47,2005,1,Andhra Pradesh,West Godavari,Rice,446.02,1363.27,3.056522129,1266,443.03,779.54,708.58,241746
47,2006,1,Andhra Pradesh,West Godavari,Rice,434.04,1557.11,3.587480417,1068,431.79,774.2,699.78,224110
47,2007,1,Andhra Pradesh,West Godavari,Rice,445.32,1639.14,3.680813797,1082,442.09,774.2,706.94,250288
47,2008,1,Andhra Pradesh,West Godavari,Rice,450.46,1600.38,3.552768281,1264,447.02,774.2,724.58,272323
47,2009,1,Andhra Pradesh,West Godavari,Rice,328.58,1115.06,3.393572342,673,328.58,774.2,617.94,255103
47,2010,1,Andhra Pradesh,West Godavari,Rice,456.52,1490.32,3.264522912,1733.4,455.69,774.2,768.36,257831
47,2011,1,Andhra Pradesh,West Godavari,Rice,363.79,1308.47,3.596772863,899.3,360.94,774.2,694.81,284939
47,2012,1,Andhra Pradesh,West Godavari,Rice,422.51,1289.34,3.05162008,1611.9,421.04,774.2,699.1,261657
47,2013,1,Andhra Pradesh,West Godavari,Rice,420.62,1342.34,3.191336598,1006.1,419.08,774.2,696.99,252158
47,2014,1,Andhra Pradesh,West Godavari,Rice,409.29,1624.32,3.968628601,861.1,407.03,850.67,691.11,252937
47,2015,1,Andhra Pradesh,West Godavari,Rice,403.8,1558.51,3.859608717,1053.9,401.83,850.67,693.23,264345
47,2016,1,Andhra Pradesh,West Godavari,Rice,399.41,1666.1,4.171402819,NA,398.3,850.66,687.42,243604
47,2017,1,Andhra Pradesh,West Godavari,Rice,393.22,1693.91,4.307792076,NA,392.44,850.66,696.59,202632
48,2000,1,Andhra Pradesh,Krishna,Rice,394.26,1277.1,3.239232993,1049,392.93,879.69,714.92,192036
48,2001,1,Andhra Pradesh,Krishna,Rice,343.59,1073.14,3.12331558,903,343.1,880,679,177713
48,2002,1,Andhra Pradesh,Krishna,Rice,246,767,3.117886179,619,244.62,880,631,140636
48,2003,1,Andhra Pradesh,Krishna,Rice,229.85,545.92,2.375114205,965,229.41,879.69,611.71,154301
48,2004,1,Andhra Pradesh,Krishna,Rice,255.32,836.43,3.27600658,818,254.91,879.69,661.11,158841
48,2005,1,Andhra Pradesh,Krishna,Rice,359.25,1106.6,3.080306193,1147,358.92,879.69,715.03,214399
48,2006,1,Andhra Pradesh,Krishna,Rice,346.3,876.86,2.53208201,1185,346.05,872.7,716.34,197961
48,2007,1,Andhra Pradesh,Krishna,Rice,354.98,1299.03,3.659445603,984,354.82,872.7,737.77,192457
48,2008,1,Andhra Pradesh,Krishna,Rice,394.53,1427.3,3.617722353,1289,394.53,872.7,756.24,209255
48,2009,1,Andhra Pradesh,Krishna,Rice,336.64,1209.29,3.592235029,724,336.64,872.7,715.99,210738
48,2010,1,Andhra Pradesh,Krishna,Rice,355.34,1090.69,3.069426465,1770.8,355.16,872.7,787.42,245037
48,2011,1,Andhra Pradesh,Krishna,Rice,272.03,1011.54,3.718486932,876.5,271.71,872.7,726.44,204543
48,2012,1,Andhra Pradesh,Krishna,Rice,264.53,950.52,3.593240842,1509.6,264.18,872.7,700.62,201232
48,2013,1,Andhra Pradesh,Krishna,Rice,363.32,1175.52,3.235494881,1317.3,363.32,872.7,728.5,254816
48,2014,1,Andhra Pradesh,Krishna,Rice,288.04,998.8,3.467573948,622.9,288.04,872.7,677,213768
48,2015,1,Andhra Pradesh,Krishna,Rice,220.68,762.64,3.455863694,944.8,220.68,872.7,609.36,166014
48,2016,1,Andhra Pradesh,Krishna,Rice,231.41,897.72,3.879348343,NA,231.41,872.7,624.32,157400
48,2017,1,Andhra Pradesh,Krishna,Rice,258.73,1031.95,3.988520852,NA,258.73,872.7,649.05,144402
49,2000,1,Andhra Pradesh,Guntur,Rice,373.44,1254.72,3.359897172,991,302.74,1921.29,1169.02,218116
49,2001,1,Andhra Pradesh,Guntur,Rice,385.18,1355.41,3.518900254,886,314.91,1921.44,1100.04,214143
49,2002,1,Andhra Pradesh,Guntur,Rice,235.9,723.46,3.066807969,565,203.88,1921.44,980.24,160608
